"Story","Title","Result","Date","Stability","Duration (s)"
"Add Admin","Add admin using correct value","PENDING","2022-12-22T18:45:39.36+07:00[Asia/Bangkok]","0.0","9.77"
"Add Admin","Add user with registered value","PENDING","2022-12-22T18:45:50.209+07:00[Asia/Bangkok]","0.0","9.88"
"Add Admin","Add admin using incorect phone number","PENDING","2022-12-22T18:46:12.009+07:00[Asia/Bangkok]","0.0","9.51"
"Add Admin","Add admin with no name","PENDING","2022-12-22T18:46:22.463+07:00[Asia/Bangkok]","0.0","9.68"
